pagerank,PercentOfBaseline,change,Unemploy,Sex Ratio,MedianAge,efficiency of health systems,2019 Visitation,Lockdown,Gini,ICU Beds,GDP,Hospitals,Life Expectancy,"Population, 2019",pop per km2,outDegree,inDegree
-1.00037487,89.63333333400001,inf,10.264999999999997,1.090964183,-0.556003044,1.5811388300000002,-0.8371917320000005,0.85,-1.6486179139999997,-0.9820760879999998,-0.49071881,-0.8991246309999997,-0.14541388600000002,-0.9684759800000006,-0.31329856999999994,-1.11893731,-1.1311601760000003
-0.814342034,71.3,0.07514275525,11.8,0.40767608999999994,1.3553810860000004,1.5811388300000002,0.8937707659999997,0.9,-1.399411679,-0.8786959739999997,-0.3190852160000001,-0.7026117020000002,1.3150473210000004,-0.5749264840000001,-0.31280855199999996,-0.8725645829999996,-0.8810849940000001
-0.7530583359999999,72.85000000050002,0.04952360230000001,13.85,1.6134786080000005,-0.597554873,1.5811388300000002,-0.583965806,0.9,-1.399411679,-0.884575412,0.35710245799999996,-0.8499963989999999,0.8503551179999997,-0.6507275339999998,-0.3125978930000001,-0.8393457879999996,-0.84218441
-0.711713567,65.0083333335,0.04622306075000001,13.099999999999994,1.189620753,1.5631402309999993,1.5811388300000002,0.07541309599999997,1.0,-1.7732210309999992,-0.5940331949999998,-0.533130695,-0.268645651,1.5805857219999995,-0.21705016999999996,-0.31269088500000003,-0.756298802,-0.7560474030000001
-0.67725374,85.0,0.32809435810000004,17.604999999999997,-0.46196330299999994,-0.015829268000000004,-0.6324555319999999,0.04689310599999998,0.8,0.120746354,-0.9291611490000001,-0.15795849200000006,-0.8008681670000005,1.3814319210000003,-0.9646394340000001,-0.26039271900000005,-0.6926294449999998,-0.7143682059999997
-0.42033543700000003,68.12000000000002,0.12404459235000001,10.059999999999999,-1.4156434759999998,-0.140484755,-0.6324555319999999,-0.7785785969999997,0.75,0.5693175769999999,0.06348392900000001,-0.467238515,-0.06394468299999997,-1.4731058929999998,-0.017216744000000003,-0.22490583000000003,-0.28293097700000003,-0.28924039600000007
-0.41942778700000005,50.45,0.1823830245,8.475000000000001,-1.1196737670000005,-0.3482438989999999,-0.6324555319999999,-0.756229328,0.8,0.47586523900000016,-0.21725922400000006,-0.20706530500000003,-0.19495330200000002,-0.47733688799999996,-0.22107824599999995,-0.23158273499999998,-0.260785114,-0.29201900899999994
-0.349326487,65.15000000100001,0.10380146444999998,11.659999999999995,2.07752988,0.6074481659999998,1.5811388300000002,2.046043931,0.95,-1.2748085620000003,-0.47791429899999993,-0.2930422679999999,-0.2932097670000001,1.447816521,0.426197407,-0.311118421,-0.33829563499999993,-0.35036988500000005
-0.242365828,44.36,0.066384257,17.515000000000008,-0.30849752700000005,0.31658536299999995,-0.6324555319999999,-0.785544603,0.8,0.463404927,0.159514746,-0.5067033500000002,0.198072555,-1.4731058929999998,-0.069561258,-0.24124772499999997,-0.15005579900000002,-0.147531126
-0.205706802,61.22999999999998,-0.08005812265000001,14.294999999999996,-0.860243528,0.19192987600000008,-0.6324555319999999,-0.403285027,0.8,0.5767937639999998,-0.37796385700000007,0.430938859,-0.3669021150000001,0.18650911499999992,-0.39271315900000014,0.04998378599999998,-0.172201662,-0.17531725700000006
-0.176966205,70.61,-0.10494608460000002,13.930000000000001,-0.7506251180000002,0.35813719200000005,-0.6324555319999999,-0.5733716720000002,0.85,0.6104366060000002,-0.13494709599999993,0.011240583,-0.30958584399999994,0.12012451500000006,-0.18492467200000007,0.18343573699999996,0.054793435,0.04697179299999999
-0.100427873,60.11,0.045504088899999996,12.365000000000002,0.5940273880000001,-0.556003044,-0.6324555319999999,-0.6412902299999997,0.85,1.3667775290000002,-0.873796443,4.204347327999999,-0.8991246309999997,-1.0747982910000002,-1.0388129000000002,4.438214913,-0.2331027849999999,-0.23088951999999993
-0.007348379,30.110000000000003,0.29542904755,20.775000000000002,0.762108951,-0.4313475570000002,-0.6324555319999999,-0.02218645200000001,0.75,0.31637324899999986,-0.5866838980000002,-0.4407150699999998,-0.6207313150000002,-1.141182891,-0.7908633359999997,-0.302233181,0.016038174999999995,0.04697179299999999
0.073802261,67.0999999995,0.12045315544999997,11.225,-0.9150527339999999,1.230725599,-0.6324555319999999,1.879533168999999,0.8,0.6590318219999999,1.718055710000001,-0.663377466,0.795799381,-0.14541388600000002,1.1304629529999999,-0.14891807500000004,0.11384907000000007,0.11365850899999999
0.143495103,53.2916666665,-0.03034642175,13.299999999999997,-1.0831342970000004,-0.09893292600000002,-0.6324555319999999,2.143080394000001,0.85,1.1287855749999998,0.9086531099999998,0.5355591129999998,0.378209407,0.7175859179999997,0.919072685,-0.14377264200000003,0.3537625870000001,0.3498406249999999
0.48302028700000005,70.25000000000001,0.11373641154999999,13.850000000000003,-0.4473475139999999,-0.4313475570000002,-0.6324555319999999,-0.45843257399999987,0.85,0.6066985129999998,0.5127709659999999,-0.05634935399999998,0.55015822,-0.6101060890000001,0.21083691900000004,-0.21971923399999996,0.5835259169999999,0.541564932
0.72644362,62.44,0.18931618599999997,10.594999999999997,0.08612875099999996,-1.8856615690000003,-0.6324555319999999,-0.403285027,0.75,0.5942382009999998,2.0095778330000007,-0.2517835760000001,3.3013392240000017,-0.7428752890000003,1.9156034140000002,-0.2680039770000001,0.6250494109999997,0.6165874860000001
0.7831419079999999,52.004999999999995,0.14704946455,14.09,0.287095838,-1.09617682,-0.6324555319999999,1.4267427830000008,0.9,0.7175952870000001,2.5676344689999997,0.16586457799999998,1.9585008769999994,0.9167397190000001,3.0138539410000003,-0.20934603999999993,0.7053281640000004,0.7249533990000002
1.1246408559999999,44.95,0.06917517524999998,9.75,1.0069234019999995,-0.9715213329999998,-0.6324555319999999,-0.7620343330000003,0.85,0.32758752899999993,-0.24518655399999995,-0.16481358600000004,-0.2522695730000001,0.18650911499999992,-0.511087996,-0.310287901,0.652731739,0.7249533990000002
3.647469722,58.669999999999995,0.20570219215000005,8.92,-1.4485289990000003,-1.013073162,-0.6324555319999999,-0.6578344939999998,0.0,0.6104366060000002,0.201160764,-0.4226804089999999,0.2062605940000001,-1.605875093000001,-0.0037095160000000004,-0.23795464800000002,3.719933781999999,3.7091839069999977
